#MP_Number	Density	EHull	Volume	Symm	formE	a	b	c	NumAtoms	Direct
1	1.899815	0.000000	116.166391	229	0.000000	5.323952	5.323952	5.323952	1	False	
7	1.688544	0.065430	189.199116	148	0.065430	6.639797	6.639797	6.639797	6	False	
9	4.551007	0.028360	32.439331	225	0.028360	3.579829	3.579829	3.579829	1	False	
11	5.540734	0.000000	44.907491	166	0.000000	4.172309	4.172309	4.172309	2	False	
14	4.403367	0.005985	89.329021	152	0.005985	4.519466	4.519466	5.049958	3	False	
17	7.349658	0.068810	93.981571	223	0.068810	4.546539	4.546539	4.546539	8	False	
19	6.048410	0.000000	105.094438	152	0.000000	4.512374	4.512374	5.959899	3	False	
21	1.579687	0.013583	337.034285	229	0.013583	4.465933	4.465933	16.898563	8	False	
24	3.552121	0.832340	44.917924	206	0.832340	3.878649	3.878649	3.878649	8	True	
25	0.926594	0.000000	200.810125	205	0.000000	5.855921	5.855921	5.855921	8	False	
28	8.848111	0.000000	26.295790	225	0.000000	3.337852	3.337852	3.337852	1	False	
30	8.924118	0.000000	11.824206	225	0.000000	2.557186	2.557186	2.557186	1	False	
32	5.041968	0.000000	47.847011	227	0.000000	4.074959	4.074959	4.074959	2	True	
35	8.265242	0.000000	320.084534	217	0.000000	7.463838	7.463838	7.463838	29	False	
36	3.030164	0.044140	24.635975	225	0.044140	3.267263	3.267263	3.267263	1	False	
39	10.901204	0.000000	31.132930	229	0.000000	3.432527	3.432527	3.432527	1	False	
42	16.054115	0.002437	561.484079	113	0.002437	5.346795	10.247595	10.247595	30	False	
43	19.145968	0.093965	619.330817	102	0.093965	5.705748	10.418496	10.418496	30	False	
45	1.576582	0.000508	42.212253	225	0.000508	3.908270	3.908270	3.908270	1	False	
47	3.488247	0.160479	22.870209	194	0.160479	2.513094	2.513094	4.181402	4	False	
48	1.939279	0.002697	41.137427	194	0.002697	2.467291	2.467291	7.803073	4	False	
51	0.570151	0.003386	20.215363	225	0.003386	3.057728	3.057728	3.057728	1	False	
56	3.571260	0.018511	127.706664	194	0.018511	4.478557	4.478557	7.352020	2	False	
58	0.883169	0.000000	73.512829	229	0.000000	4.570829	4.570829	4.570829	1	False	
64	8.956779	0.039784	51.953513	63	0.039784	3.187405	3.473411	5.281438	2	False	
66	3.493233	0.135631	11.418783	227	0.135631	2.527619	2.527619	2.527619	2	False	
70	1.569326	0.000000	90.435395	229	0.000000	4.897639	4.897639	4.897639	1	False	
71	7.213098	0.007518	39.835817	229	0.007518	3.726478	3.726478	3.726478	1	False	
72	4.646835	0.000000	51.315582	191	0.000000	4.576855	4.576855	2.828683	3	False	
76	2.651368	0.000000	54.875973	225	0.000000	4.265459	4.265459	4.265459	1	False	
83	1.608653	0.038013	1853.556556	14	0.038013	6.677540	16.643974	16.702453	56	False	
93	19.244642	0.104429	616.155307	136	0.104429	5.640249	10.451917	10.451917	30	False	
95	2.709120	0.004447	53.706153	229	0.004447	4.116695	4.116695	4.116695	1	False	
104	6.362074	0.000000	63.560163	166	0.000000	4.579866	4.579866	4.579866	2	False	
114	14.760690	0.356564	27.449359	225	0.356564	3.385965	3.385965	3.385965	1	False	
117	5.371468	0.000000	73.396167	227	0.000000	4.699621	4.699621	4.699621	2	False	
118	1.484732	0.135099	831.392659	2	0.135099	6.024789	11.862974	12.019031	24	False	
119	6.398515	0.589223	20.491653	229	0.589223	2.985838	2.985838	2.985838	1	False	
128	5.575408	0.147518	173.076547	148	0.147518	6.119933	6.119933	6.119933	8	False	
130	3.143904	0.078879	32.719277	166	0.078879	3.700189	3.700189	3.700189	2	False	
132	1.569031	0.000000	84.830818	194	0.000000	3.896612	3.896612	6.451322	2	False	
137	5.608375	0.144267	258.088779	96	0.144267	6.026650	6.026650	7.105868	12	True	
139	2.634833	0.001248	110.440702	194	0.001248	4.251388	4.251388	7.055649	2	False	
141	7.009806	0.005306	81.982199	194	0.005306	3.852873	3.852873	6.377047	2	False	
149	2.281194	0.000000	40.888292	227	0.000000	3.866975	3.866975	3.866975	2	False	
151	10.915948	0.018872	31.090878	225	0.018872	3.465157	3.465157	3.564868	1	False	
154	0.918786	0.000000	202.516640	198	0.000000	5.872462	5.872462	5.872462	8	False	
157	2.436341	0.030030	84.443258	64	0.030030	3.306110	4.552418	5.849006	4	True	
158	5.008022	0.023666	99.368757	64	0.023666	3.706519	4.686427	6.013307	4	False	
159	6.751901	0.013434	35.474373	225	0.013434	3.688161	3.688161	3.688161	1	False	
160	2.476400	0.000000	86.991202	166	0.000000	5.050375	5.050375	5.050375	12	False	
162	7.103058	0.000000	40.452951	225	0.000000	3.853202	3.853202	3.853202	1	False	
165	2.281616	0.010746	81.761475	194	0.010746	3.850482	3.850482	6.365686	4	False	
166	1.573810	0.013329	42.286611	139	0.013329	4.195005	3.805226	3.805226	1	False	
168	2.530928	0.158595	147.414893	206	0.158595	5.763962	5.763962	5.763962	8	False	
169	1.880348	0.004413	21.213349	166	0.004413	4.265460	4.265460	4.265460	2	True	
170	8.836917	0.000000	52.115017	221	-0.315135	3.735261	3.735261	3.735261	2	False	
172	6.894889	0.000000	974.683416	62	-0.807642	7.952927	8.042970	15.237725	36	False	
173	3.352783	0.000000	214.776895	63	-0.171109	4.964331	4.964331	8.819153	14	False	
174	8.670872	0.005435	538.028125	140	-0.277316	9.074188	9.074188	9.157818	16	False	
181	4.087240	0.000000	302.593534	119	-0.169932	6.358845	6.358845	8.730396	12	False	
186	2.279892	0.006812	1074.923135	223	0.002145	10.243754	10.243754	10.243754	54	False	
188	16.827942	0.007060	60.413663	221	-0.685692	3.923844	3.923844	3.923844	4	False	
189	8.029694	0.000000	106.837313	198	-0.651745	4.745052	4.745052	4.745052	8	False	
190	7.130190	0.001558	327.262161	221	-2.153228	5.361319	5.362912	13.141658	24	False	
191	7.797624	0.000000	40.847083	221	-0.858278	3.443925	3.443925	3.443925	2	False	
193	6.968515	0.000000	58.618313	139	-0.135736	3.231976	3.231976	6.059239	3	False	
