#MP_Number	CNL	EG	EFermi	ValenceMax	CondMin	ENegDiff	Formula	Cost
11	0.276	1.2	-0.5339999999999998	-0.2759999999999998	0.9240000000000013	0.0	b'As'	0.47619047619047616
14	1.007326	2.259652	-0.9753259999999999	-1.007326	1.252326	0.0	b'Se'	20.0
19	-0.0032999999999999974	0.3284	0.06730000000000036	0.0033000000000003027	0.33170000000000055	0.0	b'Te'	1000.0
32	-0.0635	0.667	0.06449999999999978	0.06349999999999989	0.7304999999999997	0.0	b'Ge'	0.7142857142857143
35	0.424578	0.7741560000000001	-0.4285779999999999	-0.42457800000000034	0.34957800000000017	0.0	b'Mn'	0.0009090909090909091
42	0.25426000000000004	0.56252	-0.3692600000000006	-0.2542600000000004	0.30825999999999976	0.0	b'Ta'	0.5882352941176471
72	0.06047400000000003	0.5099480000000001	-0.2864740000000001	-0.06047400000000014	0.4494740000000004	0.0	b'Ti'	0.00015151515151515152
76	-4.204765999999999	0.833468	4.1707659999999995	4.204765999999999	5.038233999999999	0.0	b'Sr'	0.002777777777777778
95	-4.539154	0.210692	4.203154	4.539154	4.748846	0.0	b'Sr'	0.002777777777777778
104	0.26658	0.80516	-0.3425799999999999	-0.26658000000000026	0.5375800000000002	0.0	b'Sb'	5.0
117	-0.2355	0.04	0.20449999999999946	0.23550000000000004	0.2754999999999992	0.0	b'Sn'	0.45454545454545453
139	-0.23417600000000005	0.5436479999999999	0.03817600000000021	0.23417600000000016	0.776824	0.0	b'Sr'	0.002777777777777778
149	0.48800000000000004	1.59	-0.4009999999999998	-0.48800000000000043	1.1019999999999994	0.0	b'Si'	3.7037037037037037e-06
160	0.9724940000000001	2.841988	-0.897494	-0.9724940000000002	1.8694940000000004	0.0	b'B'	0.1149425287356322
173	0.14306799999999995	0.28213599999999994	-0.8390680000000001	-0.14306799999999953	0.13906799999999997	0.06000000000000005	b'MnAl6'	0.0009822616407982262
181	0.41808400000000007	1.2041680000000001	-0.31108400000000014	-0.4180839999999999	0.7860839999999998	0.9900000000000001	b'KGa3'	0.1579614035087719
188	0.519894	0.28078800000000004	-0.9318939999999998	-0.5198940000000007	-0.24010599999999904	0.6699999999999997	b'AlPt3'	810.8108230059327
189	0.49182400000000004	1.217648	-0.4198240000000002	-0.4918239999999994	0.7258239999999994	0.30000000000000027	b'SiRu'	1000.0000037037037
200	1.141358	2.081716	-1.0703580000000006	-1.1413580000000003	0.9403580000000007	1.0899999999999999	b'LaP7'	0.03641176470588235
216	1.985	3.95	-1.9749999999999996	-1.9849999999999999	1.9650000000000007	2.08	b'Sc2O3'	0.07692959866220736
223	4.250826	5.292652	-4.136826	-4.250826	1.0418260000000004	1.4300000000000002	b'GeO2'	0.7142900621118012
224	-0.11100000000000004	0.45	0.1299999999999999	0.11099999999999977	0.5619999999999994	0.2200000000000002	b'WS2'	0.9138528138528138
226	1.1998440000000001	1.527688	-1.0778440000000007	-1.1998440000000006	0.3278439999999989	0.75	b'FeS2'	0.004777777777777778
230	2.043142	3.4512840000000002	-2.0301419999999997	-2.0431419999999996	1.4081419999999998	1.3900000000000001	b'SbO2'	5.000004347826087
239	1.5404020000000003	2.7638040000000004	-1.495402	-1.5404020000000003	1.223402	1.69	b'BaS3'	0.010084033613445377
241	5.25	6.0	-5.192	-5.25	0.7489999999999997	2.29	b'CdF2'	6.670370370370371
242	1.306802	0.876604	-1.329802	-1.3068020000000002	-0.43019799999999986	1.09	b'SrB6'	0.6924329501915709
246	3.482332	7.070664	1.6666679999999998	-3.482332	3.5883320000000003	2.44	b'TiF3'	0.005707070707070707
253	0.08459200000000006	0.317184	-0.05959200000000031	-0.08459199999999978	0.23259200000000035	0.5199999999999998	b'ScCo2'	0.10512820512820513
259	0.41949	0.08397999999999994	-0.12949000000000055	-0.4194900000000006	-0.3355100000000011	0.55	b'AlMo3'	2.7272849223946785
262	0.311582	0.836164	-1.3555819999999992	-0.3115819999999996	0.5245820000000005	1.1099999999999999	b'Na3B20'	2.2989810094952525
267	0.39574200000000004	1.294484	-0.3707419999999999	-0.39574200000000026	0.8987419999999986	0.10000000000000009	b'Te2Ru'	3000.0
277	1.036454	2.221908	-0.9634540000000005	-1.036454	1.1854539999999991	1.71	b'Zr3N4'	0.2230769230769231
288	0.6845000000000001	0.8	-0.6454999999999993	-0.6844999999999999	0.11549999999999994	0.30000000000000027	b'PtS'	270.27265122265123
292	0.31503	0.36705999999999994	-0.6350299999999995	-0.31503000000000014	0.05203000000000024	0.5500000000000003	b'V3As'	0.4919799498746867
304	0.64331	1.33762	-0.5233100000000004	-0.64331	0.6943099999999998	1.0099999999999998	b'Ca2Ge'	0.7143257142857143
306	3.5160000000000005	5.95	-3.482	-3.5160000000000005	2.4330000000000007	1.4	b'B2O3'	0.22989157921039483
315	0.15450000000000008	0.0	-0.08450000000000002	-0.15450000000000008	-0.15449999999999942	2.11	b'PbF2'	0.10370370370370371
328	0.329442	0.6878839999999999	-0.39944199999999963	-0.32944200000000023	0.35844200000000015	0.5799999999999998	b'Zr2Ni'	0.0264957264957265
333	0.24735199999999996	0.6407039999999999	-0.37735200000000013	-0.24735200000000024	0.3943519999999996	0.53	b'HfFe2'	0.3030620490620491
341	4.727448	3.476896	-4.691448	-4.727448	-1.2505519999999999	2.11	b'PbF4'	0.10740740740740741
350	-0.05046400000000001	0.12307200000000007	-0.2995359999999998	0.05046399999999984	0.1745359999999998	0.77	b'Zr5Te4'	4000.0384615384614
352	2.88	5.9	-2.757	-2.88	3.0199999999999996	2.1399999999999997	b'HfO2'	0.30303465085639
